case,time,v(offset),v(sum),v(vn),v(in),v(out),v(vp),i(vp),i(v1),i(r1),i(r2),i(vn),i(v2),i(rf)
1,0.003441500000000191,-0.5,-1.914689606236086e-05,-12.0,0.07186907920095421,0.4280734799193898,12.0,-0.001168325261507577,-7.18882260970166e-06,7.188822609701658e-06,-4.999808531039376e-05,0.001125520292274463,4.999808531039376e-05,4.280926268154522e-05
1,0.003442500000000191,-0.5,-1.919303092576263e-05,-12.0,0.07069496875562704,0.4292474519596654,12.0,-0.001168380666324114,-7.071416178655281e-06,7.071416178655281e-06,-4.999808069690743e-05,0.001125458307048126,4.999808069690743e-05,4.292666449905912e-05
1,0.003443500000000191,-0.5,-1.923842788642549e-05,-12.0,0.06951806739398257,0.4304242171299739,12.0,-0.001168436193863743,-6.953730582186897e-06,6.9537305821869e-06,-4.999807615721136e-05,0.001125396165333675,4.999807615721136e-05,4.304434555578604e-05
1,0.0034445000000001913,-0.5,-1.928308515175559e-05,-12.0,0.06833842157807071,0.4316037289736431,12.0,-0.00116849184187023,-6.835770466322247e-06,6.835770466322247e-06,-4.999807169148483e-05,0.001125333869520281,4.999807169148483e-05,4.316230120587948e-05
1,0.003445500000000191,-0.5,-1.932700095896855e-05,-12.0,0.06715607787828974,0.4327859409255633,12.0,-0.001168547608083541,-6.717540487924874e-06,6.717540487924872e-06,-4.999806729990411e-05,0.001125271422004089,4.999806729990411e-05,4.328052679265223e-05
1,0.003446500000000192,-0.5,-1.937017357425685e-05,-12.0,0.06597108297154308,0.4339708063140323,12.0,-0.001168603490239874,-6.599045314511741e-06,6.599045314511735e-06,-4.999806298264258e-05,0.001125208825188202,4.999806298264257e-05,4.339901764876066e-05
1,0.0034475000000001917,-0.5,-1.941260129309508e-05,-12.0,0.06478348363940198,0.4351582783625927,12.0,-0.001168659486071807,-6.480289624069508e-06,6.480289624069508e-06,-4.999805873987069e-05,0.001125146081482554,4.999805873987069e-05,4.351776909638858e-05
1,0.003448500000000192,-0.5,-1.945428244071179e-05,-12.0,0.06359332676625387,0.4363483101918811,12.0,-0.001168715593308407,-6.361278104869458e-06,6.361278104869459e-06,-4.999805457175593e-05,0.001125083193303823,4.999805457175593e-05,4.363677644743219e-05
1,0.003449500000000192,-0.5,-1.949521537128462e-05,-12.0,0.06240065933745425,0.4375408548214798,12.0,-0.001168771809675284,-6.242015455282551e-06,6.242015455282554e-06,-4.999805047846288e-05,0.001125020163075367,4.999805047846288e-05,4.37560350036851e-05
1,0.003450500000000192,-0.5,-1.95353984690505e-05,-12.0,0.06120552843747035,0.4387358651717685,12.0,-0.00116882813289472,-6.122506383593935e-06,6.12250638359394e-06,-4.99980464601531e-05,0.001124956993227129,4.999804646015311e-05,4.387554005702376e-05
1,0.0034515000000001923,-0.5,-1.957483014733419e-05,-12.0,0.06000798124802507,0.4399332940657846,12.0,-0.001168884560685781,-6.002755607817243e-06,6.00275560781724e-06,-4.999804251698526e-05,0.001124893686195526,4.999804251698526e-05,4.39952868895932e-05
1,0.003452500000000192,-0.5,-1.961350884976953e-05,-12.0,0.05880806504622955,0.441133094231086,12.0,-0.001168941090764378,-5.88276785550793e-06,5.882767855507932e-06,-4.999803864911503e-05,0.001124830244423409,4.999803864911503e-05,4.411527077399358e-05
1,0.003453500000000192,-0.5,-1.965143304893946e-05,-12.0,0.05760582720272224,0.4423352183016166,12.0,-0.00116899772084338,-5.762547863577121e-06,5.762547863577118e-06,-4.999803485669511e-05,0.001124766670359951,4.99980348566951e-05,4.423548697346656e-05
1,0.003454500000000193,-0.5,-1.968860124798577e-05,-12.0,0.05640131517979392,0.4435396188195761,12.0,-0.001169054448632741,-5.642100378104191e-06,5.642100378104191e-06,-4.99980311398752e-05,0.001124702966460531,4.99980311398752e-05,4.435593074208241e-05
1,0.003455500000000193,-0.5,-1.97250119792769e-05,-12.0,0.05519457652951616,0.4447462482372959,12.0,-0.001169111271839565,-5.521430154149544e-06,5.521430154149544e-06,-4.999802749880208e-05,0.001124639135186706,4.999802749880208e-05,4.447659732492752e-05
1,0.003456500000000193,-0.5,-1.976066380549035e-05,-12.0,0.05398565889186593,0.445955058919111,12.0,-0.001169168188168215,-5.400541955567139e-06,5.400541955567143e-06,-4.999802393361945e-05,0.001124575179006059,4.999802393361945e-05,4.459748195829165e-05
1,0.003457500000000193,-0.5,-1.979555531891886e-05,-12.0,0.05277460999284023,0.4471660031432474,12.0,-0.001169225195320426,-5.279440554815921e-06,5.279440554815915e-06,-4.999802044446811e-05,0.001124511100392165,4.99980204444681e-05,4.471857986985663e-05
1,0.003458500000000193,-0.5,-1.982968514227523e-05,-12.0,0.05156147764257799,0.4483790331036984,12.0,-0.001169282290995357,-5.158130732772024e-06,5.158130732772027e-06,-4.999801703148578e-05,0.001124446901824481,4.999801703148578e-05,4.483988627888407e-05
