case,vg,v(gate),v(drain),i(vd),id(j1),i(vg)
2,-1.66,-1.66,6.0,-0.000178602007661,0.0001786020076610001,9.322000000000001e-12
2,-1.65,-1.65,6.0,-0.0001892625076510006,0.0001892625076510001,9.302e-12
2,-1.64,-1.64,6.0,-0.0002002320076409999,0.0002002320076409999,9.282000000000002e-12
2,-1.63,-1.63,6.0,-0.000211510507631,0.0002115105076310001,9.262000000000002e-12
2,-1.62,-1.62,6.0,-0.0002230980076210001,0.0002230980076209999,9.242000000000001e-12
2,-1.61,-1.61,6.0,-0.000234994507611,0.0002349945076110002,9.222000000000001e-12
2,-1.6,-1.6,6.0,-0.0002472000076010001,0.0002472000076009999,9.202000000000002e-12
2,-1.59,-1.59,6.0,-0.0002597145075909999,0.0002597145075910002,9.182000000000002e-12
2,-1.58,-1.58,6.0,-0.0002725380075809998,0.000272538007581,9.162000000000002e-12
2,-1.57,-1.57,6.0,-0.000285670507571,0.000285670507571,9.142000000000001e-12
2,-1.56,-1.56,6.0,-0.0002991120075610003,0.000299112007561,9.122000000000001e-12
2,-1.55,-1.55,6.0,-0.000312862507551,0.000312862507551,9.102e-12
2,-1.54,-1.54,6.0,-0.0003269220075410003,0.0003269220075409999,9.082000000000002e-12
2,-1.53,-1.53,6.0,-0.0003412905075310005,0.000341290507531,9.062000000000002e-12
2,-1.52,-1.52,6.0,-0.0003559680075210007,0.000355968007521,9.042000000000001e-12
2,-1.51,-1.51,6.0,-0.000370954507511,0.000370954507511,9.022000000000001e-12
2,-1.5,-1.5,6.0,-0.0003862500075009997,0.000386250007501,9.002000000000002e-12
2,-1.49,-1.49,6.0,-0.0004018545074910003,0.0004018545074910001,8.982000000000002e-12
2,-1.48,-1.48,6.0,-0.0004177680074810004,0.0004177680074810001,8.962e-12
2,-1.47,-1.47,6.0,-0.0004339905074710001,0.0004339905074710001,8.942000000000001e-12
2,-1.46,-1.46,6.0,-0.0004505220074610002,0.0004505220074610001,8.922000000000001e-12
2,-1.45,-1.45,6.0,-0.0004673625074509999,0.0004673625074510001,8.902e-12
2,-1.44,-1.44,6.0,-0.0004845120074410004,0.0004845120074410001,8.882e-12
2,-1.43,-1.43,6.0,-0.000501970507431,0.0005019705074310002,8.862000000000002e-12
2,-1.42,-1.42,6.0,-0.0005197380074210001,0.0005197380074210002,8.842000000000001e-12
2,-1.41,-1.41,6.0,-0.0005378145074109997,0.0005378145074109998,8.822000000000001e-12
2,-1.4,-1.4,6.0,-0.0005562000074010001,0.0005562000074010001,8.802e-12
2,-1.39,-1.39,6.0,-0.0005748945073910001,0.0005748945073909999,8.782e-12
2,-1.38,-1.38,6.0,-0.0005938980073810001,0.0005938980073810003,8.762000000000002e-12
2,-1.37,-1.37,6.0,-0.0006132105073709997,0.0006132105073709998,8.742000000000001e-12
2,-1.36,-1.36,6.0,-0.0006328320073610001,0.0006328320073610004,8.722000000000001e-12
2,-1.35,-1.35,6.0,-0.0006527625073509996,0.0006527625073509998,8.702e-12
