case,frequency_real,frequency_imag,v(low)_real,v(low)_imag,v(high)_real,v(high)_imag,v(in)_real,v(in)_imag,i(vin)_real,i(vin)_imag,i(clp)_real,i(clp)_imag,i(rhp)_real,i(rhp)_imag,i(rlp)_real,i(rlp)_imag,i(chp)_real,i(chp)_imag
1,10.39122303835166,0.0,0.999999573722034,-0.0006528995208651732,4.262779660588771e-07,0.0006528995208651731,1.0,0.0,-8.525559321096469e-10,-1.305799041730346e-06,4.262779660588771e-10,6.528995208651732e-07,4.262779660588771e-10,6.528995208651731e-07,4.262779660368921e-10,6.528995208651732e-07,4.26277966058877e-10,6.528995208651732e-07
1,10.79775162327706,0.0,0.9999995397156557,-0.0006784424312229161,4.60284344345339e-07,0.0006784424312229161,1.0,0.0,-9.205686886216321e-10,-1.356884862445832e-06,4.602843443453389e-10,6.784424312229161e-07,4.60284344345339e-10,6.784424312229161e-07,4.602843443057836e-10,6.784424312229161e-07,4.602843443453389e-10,6.784424312229161e-07
1,11.2201845430196,0.0,0.9999995029964157,-0.0007049846362653772,4.97003584382789e-07,0.0007049846362653772,1.0,0.0,-9.94007168720821e-10,-1.409969272530754e-06,4.970035843827889e-10,7.049846362653771e-07,4.970035843827889e-10,7.049846362653772e-07,4.970035842877252e-10,7.049846362653772e-07,4.970035843827889e-10,7.049846362653771e-07
1,11.65914401179828,0.0,0.9999994633478954,-0.0007325652303593343,5.36652104726906e-07,0.0007325652303593343,1.0,0.0,-1.073304209425904e-09,-1.465130460718669e-06,5.36652104726906e-10,7.325652303593343e-07,5.36652104726906e-10,7.325652303593343e-07,5.366521046434869e-10,7.325652303593343e-07,5.36652104726906e-10,7.325652303593342e-07
1,12.11527658628584,0.0,0.9999994205364112,-0.0007612248372913488,5.794635886872912e-07,0.0007612248372913489,1.0,0.0,-1.158927177561729e-09,-1.522449674582698e-06,5.794635886872912e-10,7.61224837291349e-07,5.794635886872912e-10,7.61224837291349e-07,5.794635887790278e-10,7.612248372913488e-07,5.794635886872913e-10,7.61224837291349e-07
1,12.58925411794163,0.0,0.9999993743096384,-0.0007910056700970758,6.256903616141525e-07,0.0007910056700970758,1.0,0.0,-1.251380723332223e-09,-1.582011340194152e-06,6.256903616141526e-10,7.910056700970759e-07,6.256903616141526e-10,7.910056700970759e-07,6.25690361633069e-10,7.910056700970759e-07,6.256903616141526e-10,7.910056700970759e-07
1,13.08177474260189,0.0,0.999999324395122,-0.0008219515932306112,6.756048780562914e-07,0.0008219515932306112,1.0,0.0,-1.351209756087963e-09,-1.643903186461223e-06,6.756048780562915e-10,8.219515932306113e-07,6.756048780562915e-10,8.219515932306113e-07,6.756048780420798e-10,8.219515932306113e-07,6.756048780562915e-10,8.219515932306113e-07
1,13.59356390878521,0.0,0.9999992704986724,-0.0008541081871653483,7.295013275550645e-07,0.0008541081871653483,1.0,0.0,-1.459002655173033e-09,-1.708216374330697e-06,7.295013275550646e-10,8.541081871653483e-07,7.295013275550646e-10,8.541081871653484e-07,7.29501327567661e-10,8.541081871653484e-07,7.295013275550646e-10,8.541081871653483e-07
1,14.12537544622749,0.0,0.9999992123026313,-0.0008875228155213815,7.876973685381446e-07,0.0008875228155213814,1.0,0.0,-1.575394737241216e-09,-1.775045631042763e-06,7.876973685381446e-10,8.875228155213814e-07,7.876973685381445e-10,8.875228155213814e-07,7.87697368664908e-10,8.875228155213815e-07,7.876973685381445e-10,8.875228155213815e-07
1,14.67799267622064,0.0,0.9999991494639994,-0.0009222446948182097,8.50536000531821e-07,0.0009222446948182097,1.0,0.0,-1.701072001102294e-09,-1.84448938963642e-06,8.50536000531821e-10,9.222446948182096e-07,8.50536000531821e-10,9.222446948182098e-07,8.505360006294538e-10,9.222446948182098e-07,8.50536000531821e-10,9.222446948182098e-07
