case,time,v(drive),v(out),v(gate),v(vdd),i(vdd),i(rg),i(rl),i(cgs),i(vin),id(m1),i(cgd)
3,1.811379090115677e-05,8.0,12.03742245506065,0.7032095785068766,12.0,0.003118537921662057,0.01552508600317686,-0.003118537921720528,0.01240734226703621,-0.01552508600317716,-7.941857838034139e-07,0.003117743736141154
3,1.811879090115677e-05,8.0,12.03726371122386,0.7341621452209501,12.0,0.003105309268616629,0.0154592294782533,-0.003105309268655413,0.01235471110403719,-0.01545922947825349,-7.908945498513731e-07,0.003104518374216436
3,1.812379090115677e-05,8.0,12.03710564075929,0.7649834129192261,12.0,0.003092136729919481,0.01539365231293782,-0.003092136729941242,0.01230230305446822,-0.01539365231293793,-7.874715102218488e-07,0.003091349258469656
3,1.812879090115677e-05,8.0,12.03694824081657,0.7956739385658194,12.0,0.003079020068052607,0.01532835332220038,-0.003079020068047426,0.01225011746277449,-0.01532835332220036,-7.842086979792384e-07,0.003078235859425682
3,1.813379090115677e-05,8.0,12.03679150855395,0.8262342767615345,12.0,0.003065959046143041,0.01526333132603929,-0.00306595904616221,0.01219815309377126,-0.01526333132603938,-7.808139912413026e-07,0.003065178232267929
3,1.813879090115677e-05,8.0,12.03663544113924,0.8566649797540904,12.0,0.003052953428278604,0.01519858514945938,-0.003052953428269796,0.01214640930025435,-0.01519858514945934,-7.775791566189127e-07,0.003052175849204808
3,1.814379090115677e-05,8.0,12.03648003575318,0.886966597448787,12.0,0.003040002979438405,0.01513411362244939,-0.003040002979431744,0.01209488485553312,-0.01513411362244936,-7.742126051368814e-07,0.003039228766916313
3,1.814879090115677e-05,8.0,12.03632528958773,0.9171396774181069,12.0,0.003027107465613854,0.01506991557996147,-0.003027107465644126,0.01204357911987797,-0.01506991557996163,-7.710056593168702e-07,0.003026336460083545
3,1.815379090115677e-05,8.0,12.03617119984627,0.947184764911666,12.0,0.00301426665390192,0.01500598986189007,-0.003014266653856031,0.01199249087499998,-0.01500598986188984,-7.676669078193754e-07,0.00301349898688974
3,1.815879090115677e-05,8.0,12.03601776374362,0.9771024028660762,12.0,0.00300148031199865,0.0149423353130509,-0.003001480311968378,0.01194161948867489,-0.01494233531305075,-7.644875843482168e-07,0.003000715824376332
3,1.816379090115677e-05,8.0,12.03586497850775,1.006893131915114,12.0,0.002988748209020509,0.01487895078315933,-0.00298874820897943,0.01189096375069187,-0.01487895078315912,-7.611765440174167e-07,0.002987987032467387
